GEOID,new_oneperson_hh,new_twoperson_hh,new_total_tract_population,new_total_housing_units,new_hh_income_low,new_hh_income_mid,new_hh_income_high,new_nocar,new_basic,new_retail,new_service,new_total_emp
08001008526,2217.33,3377.16,14016.64,5594.49,549.44,1592.95,3452.1,170.27,4741.131014,1321.597871,1380.380599,7443.109484
08031015600,1933.12,1593.04,21185.9,3526.16,860.15,1532.66,1133.35,374.24,5044.148282,1412.552405,2987.35745,9444.058137
08031004101,1451.26,990.16,5228.02,2441.41,696.03,1084.68,660.7,329.24,5903.595476,117.3427893,1003.679586,7024.6178513
08031001401,1928.4,1238.19,27687.47,3166.6,1110.14,1145.34,911.13,523.57,6116.24474,2110.839769,7491.750983,15718.835492
08005006709,1015.21,1791.77,6379.18,2806.98,100.43,746.24,1960.31,20.36,6383.970073,1658.56285,7315.639313,15358.172236
08059010402,6405.05,4803.79,20003.64,11208.84,1906.35,5984.48,3318.01,517.56,7471.328117,2369.679032,9275.389532,19116.396681
08001008309,476.33,988.21,5307.57,1464.54,275.47,914.87,274.21,73.66,10329.22291,1889.050438,4464.801299,16683.074647
08059060500,6149.06,9644.5,38264.83,15793.56,676.64,3565.77,11551.15,419.52,21484.17451,769.9359577,15502.36438,37756.4748477
08001008353,4568.06,5977.05,32835.21,10545.11,784.54,4249.58,5510.99,65.38,27178.0779,1022.975622,12491.07075,40692.124272
08005006856,4496.25,3290.17,18201.19,7786.42,1208,2569.84,4008.58,61.12,30619.24813,2582.987639,35284.39985,68486.63561900001
08001008801,332,278,5160,1538,267,804,416,56,1124,82,222,1428
08001007801,434,283,4215,1422,525,645,173,394,22,27,431,480
08059012039,392,664,5417,2038,144,522,1318,56,53,25,205,283
08031004103,462,883,5593,2297,122,528,1591,85,73,25,232,330
08031004201,508,683,4979,2022,151,419,1385,148,104,138,832,1074
08031004002,269,555,3525,1433,86,335,920,9,44,5,398,447
08005082400,355,446,4335,1542,289,587,565,63,42,93,342,477
08005005635,612,727,4989,2052,183,583,1219,181,64,6,1038,1108
08059011805,1229,1110,5996,3061,487,1176,1282,229,118,866,1913,2897
08031002703,2429,1028,5217,3820,913,1715,1008,681,29,200,652,881
08005085000,141,360,2088,890,55,220,551,0,24,472,1102,1598
08005084000,106,242,2640,767,24,261,475,15,44,201,260,505
08059012049,142,600,3921,1405,32,289,1084,28,51,36,172,259
08031004503,452,166,4390,1440,420,704,248,124,28,10,140,178
08005006601,1033,881,5830,2809,609,1226,785,200,325,183,728,1236
08005083400,354,516,7275,2210,74,894,1242,35,213,56,346,615
08059011701,599,796,4599,2073,191,728,1091,86,147,652,3117,3916
08059010604,330,382,2435,1084,129,508,390,59,98,452,835,1385
08005081100,923,709,6289,2674,560,1383,555,369,305,2382,2380,5067
08014031000,609,659,5731,2249,132,603,1478,10,46,202,372,620
08001008546,291,342,3926,1344,61,420,809,50,34,34,199,267
08031015400,555,611,4868,1727,328,565,756,150,49,51,2099,2199
08031008391,384,826,7315,2473,101,1022,1246,43,50,0,24,74
08031004202,373,600,4567,1743,101,310,1236,42,96,47,910,1053
08001008100,368,236,1574,845,244,280,184,64,75,13,27108,27196
08059011730,592,532,3388,1742,220,917,475,56,52,14,90,156
08014030400,193,465,3998,1369,74,222,1073,0,56,48,186,290
08005005631,176,529,3324,1242,44,335,854,8,64,218,257,539
08005083000,159,475,3750,1266,61,337,838,11,59,5,85,149
08005006711,144,614,4225,1521,18,298,1134,9,249,238,1180,1667
08001009327,400,418,4435,1581,312,484,719,61,15,11,31,57
08031980100,0,0,0,0,0,0,0,0,8692,309,3507,12508
08035014113,95,362,3179,1031,30,163,838,16,36,64,181,281
08005085400,91,474,4723,1444,8,166,1244,20,26,277,481,784
08059011602,484,440,4409,1742,303,748,602,166,30,689,1106,1825
08031004506,220,345,3795,1196,424,483,232,99,8,28,638,674
08093000400,125,418,1378,3639,43,250,323,25,49,7,75,131
08093000200,255,858,3836,1939,115,490,847,0,91,33,89,213
08031001902,15,23,778,66,0,16,22,0,428,6,4373,4807
08031008305,113,184,4792,1082,215,413,424,37,22,0,19,41
08001009306,354,322,3588,1243,104,668,471,52,27,81,286,394
08059011550,1142,1085,6491,3227,741,1523,762,480,932,361,1377,2670
08059011951,407,550,3409,1586,138,544,750,22,28,0,77,105
08031001901,504,361,3346,1290,522,400,316,334,4085,129,1835,6049
08031012001,313,354,1977,957,164,236,511,44,15,0,167,182
08031003003,434,486,3346,1223,142,444,541,81,59,58,587,704
