GEOID,nocar,population,housing_units,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_hh,twoperson_hh,total_emp,basic_emp,retail_emp,service_emp
08059012038,12,3910,1399,69,437,893,1399,220,588,341,29,198,114
08005005621,101,2774,1224,96,279,808,1183,330,455,356,92,9,255
08059010209,69,6694,2740,251,1261,1117,2629,724,1050,557,67,23,467
08005085100,0,6622,2008,53,243,1679,1975,170,541,312,46,1,265
08059009851,0,3999,1576,66,317,1077,1460,310,517,1694,371,59,1264
08059011806,270,5360,2234,691,782,675,2148,812,559,1154,105,19,1030
08031005002,548,8056,3677,880,1456,1121,3457,1179,1073,3058,309,381,2368
08031000902,21,6145,1961,282,999,637,1918,409,568,309,40,42,227
08031002300,356,5528,2299,312,601,1330,2243,640,880,311,55,1,255
08005084300,27,3740,1169,65,416,688,1169,224,275,469,18,123,328
08005085500,10,5535,1804,53,401,1350,1804,173,731,197,49,50,98
08031003101,110,1812,887,118,291,377,786,284,230,3386,30,40,3316
08031004602,229,7698,2493,600,1159,662,2421,641,620,596,99,57,440
08035014112,20,3913,1485,60,267,1105,1432,252,525,103,29,2,72
08014031200,25,4872,2538,253,774,1299,2326,731,1067,5545,3506,276,1763
08001007900,265,5627,2064,488,966,496,1950,527,665,786,221,84,481
08001008308,82,5648,1950,466,953,465,1884,459,555,4060,2505,433,1122
08005007202,177,4218,1385,335,653,361,1349,336,380,225,15,9,201
08005007702,51,4199,1609,136,732,631,1499,411,494,224,30,67,127
08035014405,32,7560,2432,109,395,1912,2416,225,708,438,119,9,310
08059010502,190,5092,2330,370,936,1007,2313,705,1083,4740,80,162,4498
08059010603,115,3407,1761,348,717,617,1682,761,535,2124,174,613,1337
08059010213,44,4809,1894,282,697,867,1846,507,563,1836,1183,60,593
08005086600,18,5909,2587,154,894,1521,2569,487,1453,456,95,44,317
08001060000,74,6338,2228,59,648,1500,2207,399,723,2603,248,1014,1341
08059009837,0,6533,2210,85,333,1792,2210,172,907,590,294,9,287
08059009845,0,4210,1829,76,313,1389,1778,353,903,1658,343,52,1263
08035014503,53,5683,2247,189,787,1228,2204,503,815,8713,172,601,7940
08059010801,35,2520,1142,137,301,691,1129,365,418,614,166,39,409
08031008386,31,5449,1288,211,450,627,1288,129,148,300,17,162,121
08005007400,139,5386,1661,386,671,569,1626,464,376,5905,30,160,5715
